Summary,Issue Type,Application,Module,Description,Platform,Version,Environment,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,Labels
Direct URL navigation and page refresh redirect every module back to Home,Bug,Trackofy,Global / Navigation,"No top-level module (Dashboard, Unit, Tracking, Reports, Settings, Administrator) can be reached by typing its URL directly or by refreshing the page while on it. The SPA silently redirects to /home with no error, message, or indication anything went wrong. App-wide routing defect, not specific to any one module.",Web,V6.2,Staging,"1. Log in.
2. Navigate directly to any module URL (e.g. https://staging.trackofy.com/dashboard/graphical, /unit, /tracking, /reports) via the address bar or a fresh browser tab.
3. Separately: from any module reached normally via its nav-bar link, press browser refresh (F5).","Both a direct URL visit and a page refresh load the target module normally, the same as any bookmarkable, shareable, refresh-safe page.","Both cases silently redirect to /home with no error. Reproduced 3/3 independently on Dashboard, Unit, and Tracking, and confirmed again on Reports. The only way to reach any checked module is clicking its in-app nav-bar link.",Major,High,navigation routing regression app-wide
Console TypeError fires on every Dashboard page load,Bug,Trackofy,Dashboard,"A JavaScript runtime error is thrown from an Angular @ViewChild reference being accessed before it is available, on every single Dashboard page load.",Web,V6.2,Staging,"1. Log in.
2. Navigate to Dashboard via the nav link.
3. Open the browser DevTools console.",No JavaScript runtime errors on a normal page load.,"""TypeError: Cannot read properties of undefined (reading 'nativeElement')"" thrown from ngAfterViewInit (chunk-SUZ54XLY.js), 3 times per load. No confirmed visible breakage observed alongside it, but an uncaught error on every load is a real defect and this class of timing bug can manifest as visible breakage under different data/network conditions.",Low,Medium,console-error dashboard javascript
Rapid repeated clicks on Start Tracking leave Live Tracking in an inconsistent state,Bug,Trackofy,Tracking,"Forcing multiple rapid clicks on Start Tracking past its disabled state does not start tracking safely or exactly once. NOTE: this requires forcing clicks past the button's disabled state (Playwright force=True) faster than a real user's mouse could reliably manage -- a normal human clicking repeatedly is unlikely to trigger this in practice. Low real-world impact; flagged for completeness, not urgency.",Web,V6.2,Staging,"1. Open Tracking > Live Tracking.
2. Select a vehicle.
3. Click ""Start Tracking"" 4 times in rapid succession, forcing clicks past the button's disabled state.","Rapid clicks should either start tracking exactly once, or be safely/cleanly ignored once tracking is already in progress.","Confirmed 3/3 independent runs: either the button element detaches from the DOM mid-click-sequence (causing a 30s timeout), or tracking never actually starts -- the form resets to its pre-tracking state (Start Tracking re-enabled, no vehicle marker on the map) despite a vehicle being selected and clicked.",Low,Low,tracking race-condition rapid-click not-human-reproducible
"Standard Reports catalog search returns zero results for any query, including exact matches",Bug,Trackofy,Reports,"Typing any query into the Standard Reports catalog search box empties the entire catalog, even when the query exactly matches a report name currently visible on screen.",Web,V6.2,Staging,"1. Open Reports > Standard.
2. Note ""Distance Chart"" is visible in the catalog.
3. Type ""Distance Chart"" (or just ""Distance"") into the report search box.",The catalog narrows to reports matching the query; at minimum the exact match itself should remain visible.,"The catalog shows zero reports, with no ""no results found"" message either. Clearing the search box immediately restores the report. Confirmed live 4x total, including with real keystrokes, an 8s wait, and checking the full page HTML (not just visible text) to rule out a debounce timing issue.",High,High,reports search regression
Trip Report gives no explanation when Generate is disabled for an out-of-history-window date range (inconsistent with Cumulative Distance),Bug,Trackofy,Reports,"Selecting a date range outside the app's allowed ~3-month history window correctly disables Generate (reasonable behavior), but the explanation shown to the user is inconsistent across report types: Cumulative Distance shows a clear message (""Date cannot be earlier than the allowed 3-month history range.""), while Trip Report shows nothing at all for the identical kind of date-range problem.",Web,V6.2,Staging,"1. Open Reports > Standard > Trip Report.
2. Select a vehicle.
3. Select a date range outside the allowed history window (e.g. 01/03/2026 to 10/03/2026).
4. Observe the Generate button and look for any validation message.
5. Repeat the same steps on Cumulative Distance for comparison.","Both report types should show a clear validation message explaining why Generate is unavailable for the date range, consistent with Cumulative Distance's existing message.","Trip Report: Generate stays disabled with no tooltip, validation message, or any other indication of the problem. Cumulative Distance: shows ""Date cannot be earlier than the allowed 3-month history range."" for the same kind of restriction. Confirmed live across both report types.",Low,Medium,reports date-range validation ux consistency
"Stale, delayed API responses can overwrite the report table with out-of-date results",Bug,Trackofy,Reports,"When a slower, earlier report request resolves after a faster, later request for a different filter, its stale response overwrites the table instead of being discarded. Extends the request-ordering gap already logged as Bug #18 (KPI-card level) to the report table itself. Re-verified against the correctly-scoped result table (a locator bug in the test script that could have produced false positives was found and fixed first, and this finding survived that fix across 3 separate runs). NOTE: reproduced by artificially delaying the first request's network response in testing -- a real user would need a genuinely slow/flaky network to hit this timing window, not something reliably triggerable by normal use.",Web,V6.2,Staging,"1. Generate a Fleet Summary report with all vehicles selected (request #1, artificially delayed in testing).
2. Before it resolves, generate the same report filtered to a single vehicle (request #2, fast).
3. Wait for the delayed request #1 to also land.","The table reflects only the latest request (1 row, the single selected vehicle).","The table shows 10 rows -- the late, stale all-vehicles response wins over the correct, more recent single-vehicle result. Confirmed live 3x with the corrected, properly-scoped result table locator.",Medium,Medium,reports race-condition data-integrity not-human-reproducible
Rapid clicks on Generate fire a duplicate backend request per click with no debounce,Bug,Trackofy,Reports,"Clicking Generate multiple times in quick succession is not debounced or blocked while a request is already pending, firing one full backend request per click. NOTE: reproduced via 5 rapid scripted clicks -- a real user manually clicking repeatedly is unlikely to fire this many genuinely-registered clicks before the first response returns; low real-world impact, flagged for completeness.",Web,V6.2,Staging,"1. Open Reports > Standard > Fleet Summary.
2. Select a vehicle.
3. Click Generate 5 times in rapid succession.",Duplicate requests should be prevented or coalesced (at most 1-2 requests fired).,"5 rapid clicks fired 5 separate real fleet_summary_new POST requests, confirmed via network capture.",Low,Low,reports performance debounce not-human-reproducible
"GeoLink exposes user session token to anonymous visitors, allowing account access",Bug,Trackofy,Home,"A GeoLink created for a vehicle exposes a session/auth token in the network tab that can be used to access the user's account, not just view the shared vehicle.",Web,V6.2,Staging,"1. Open Home > GeoLinks.
2. Create a temporary link for one vehicle.
3. Open the generated URL in a fresh, unauthenticated browser context.
4. Open the browser's network tab and inspect the API requests.",The user should not be able to see any session/auth token in the anonymous GeoLink view.,The anonymous visitor can see a token in the network tab and use it to actually access the application/account.,High,High,security geolink information-disclosure home token-exploit
Partial and case-insensitive searches fail to find the Default group,Bug,Trackofy,Home,"Searching Home > Groups for a partial or differently-cased version of an existing group's name returns no results, even though the group is visible in the unfiltered list.",Web,V6.2,Staging,"1. Open Home > Groups and confirm ""Default"" is visible.
2. Search for ""Def"".
3. Clear the search and search for ""dEFAULT"".
4. Allow the debounced search to settle before checking results.","Both a partial search (""Def"") and a case-insensitive search (""dEFAULT"") should return the matching Default group.",Both searches return no group cards even though Default exists. Reproduced after adding an explicit wait for search-result rendering. Confirmed for the Default group and these two search values; not confirmed to affect every group.,Medium,Medium,home search groups
Keyboard opening of KPI Settings leaves focus on the background page,Bug,Trackofy,Home,"Opening the KPI Settings panel via the keyboard (Enter) does not move focus into the panel, so subsequent Tab presses continue through the background page instead of the panel's own controls.",Web,V6.2,Staging,"1. Open Home.
2. Focus the KPI Settings control and press Enter.
3. Wait for the settings checkboxes to render.
4. Press Tab.","Opening the panel via keyboard should move focus into it, giving predictable keyboard access to its controls without traversing the background page.",Focus remains outside the settings panel after opening; Tab moves focus to the Fleet button behind it instead. Reproduced with an added rendering delay. Confirmed in Chromium; cross-browser focus behavior not tested.,Medium,Medium,home accessibility keyboard-navigation
